,NPI_ID,HCP_ID,TARGET,Age,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Procedures_chemo_last_1_month,Procedures_chemo_last_3_month,Procedures_chemo_last_6_month,Procedures_chemo_last_12_month,Procedures_radio_last_1_month,Procedures_Immuno_last_6_month,Procedures_Immuno_last_12_month,Procedures_Biopsy_last_3_month,Procedures_Biopsy_last_6_month,Procedures_Biopsy_last_12_month,Promotional_medscape_last_1_month,Promotional_medscape_last_3_month,Promotional_medscape_last_6_month,F2F_visit,F2F_visit_last_1_month,F2F_visit_last_3_month,VRC_visit_last_3_month,VRC_visit_last_6_month,VRC_visit_last_12_month,HCO_Affiliation_Type_Contract,HCO_Affiliation_Type_Referral
0,9846255,HCP_1,0,64,290,400,492,770,1373,241,395,48,82,112,154,43,80,114,97,182,209,12,18,30,1,2,3,5,9,16,False,True
1,5217093,HCP_2,0,64,645,923,1628,2210,2449,197,266,66,75,98,124,59,103,150,62,73,93,11,14,21,2,4,6,3,6,11,False,False
2,2659257,HCP_3,0,56,879,1062,1918,3505,6169,319,532,37,55,96,129,78,227,252,70,107,184,17,20,29,1,2,3,6,8,11,False,False
3,9851763,HCP_4,0,74,392,704,1036,1078,1184,232,419,69,114,139,196,54,120,222,88,133,262,12,16,21,1,2,4,4,6,7,False,False
4,6650853,HCP_5,0,46,1043,1228,1305,1339,2483,232,261,75,83,110,163,55,121,142,131,234,284,12,15,30,1,2,3,6,9,16,True,False
5,8407563,HCP_6,0,87,325,338,516,818,1039,202,226,32,55,73,79,67,112,212,95,189,270,10,19,23,1,2,4,3,4,5,False,False
6,5404573,HCP_7,0,63,1038,2065,2986,3673,3738,104,185,73,103,182,281,35,167,241,76,98,189,13,25,33,2,3,4,4,6,8,False,False
7,5937705,HCP_8,0,38,685,765,1334,2458,3624,197,260,47,60,107,114,53,185,356,89,169,304,10,15,28,1,2,4,4,8,14,False,False
8,4619157,HCP_9,0,49,1100,1816,3544,3933,4911,162,281,64,88,127,159,65,253,399,72,128,214,11,19,25,2,4,7,5,6,9,False,True
9,5133414,HCP_10,0,60,1100,1636,1932,3193,5024,206,365,34,57,70,96,40,81,161,71,84,87,7,10,15,2,3,4,3,6,10,False,False
10,8718815,HCP_11,0,71,1079,1564,2291,4414,6984,22,31,52,98,128,218,51,78,142,93,157,159,16,29,36,1,2,4,3,4,6,True,False
11,1060131,HCP_12,0,70,1046,1224,2146,2724,3947,38,50,38,55,62,81,62,101,187,52,73,107,14,19,20,2,3,5,8,15,26,False,False
12,9119720,HCP_13,0,81,1100,1953,2103,4124,6807,56,108,42,63,119,209,81,82,121,49,63,104,12,16,24,2,4,7,7,10,20,True,False
13,9875108,HCP_14,1,66,1100,1740,2884,3396,5605,243,436,62,103,203,342,47,226,375,141,264,383,9,13,22,2,4,6,5,7,12,False,True
14,5099974,HCP_15,0,35,1100,1700,2286,4228,5724,84,91,34,37,70,134,51,74,110,62,91,97,8,15,24,1,2,3,4,8,9,True,False
15,6845671,HCP_16,0,58,1100,1507,2466,2896,4252,192,246,33,35,46,60,51,168,198,68,99,115,16,20,28,1,2,4,3,4,6,False,False
16,1116782,HCP_17,0,74,100,126,205,264,489,13,21,55,84,120,160,68,111,112,127,174,314,14,26,39,2,3,6,3,6,10,False,False
17,2942128,HCP_18,1,35,159,245,474,863,959,10,12,29,57,58,98,79,84,153,58,94,113,9,17,31,2,3,6,3,4,6,False,False
